model,price,year,mile,age
Model 3,197,2025,2000,0
Model 3,226,2024,3177,1
Model 3,128.8,2022,49100,3
Model 3,120,2022,20000,3
Model 3,116,2022,94816,3
Model 3,120,2022,63000,3
Model 3,120.8,2022,96000,3
Model 3,125,2022,61000,3
Model 3,125,2022,70000,3
Model 3,156,2022,3335,3
Model 3,124,2022,61000,3
Model 3,132,2022,30000,3
Model 3,133,2022,50000,3
Model 3,139,2022,27000,3
Model 3,120,2022,63715,3
Model 3,133.8,2022,70000,3
Model 3,128,2022,45451,3
Model 3,120,2021,41500,4
Model 3,120,2021,37500,4
Model 3,120,2021,37500,4
Model 3,128,2021,37000,4
Model 3,98,2021,27572,4
Model 3,94,2021,97000,4
Model 3,99,2021,109816,4
Model 3,117,2021,77800,4
Model 3,85,2020,70000,5
Model 3,108,2020,79000,5
Model 3,109,2020,49000,5
Model 3,89,2020,101000,5
Model 3,113.88,2019,108879,6
Model 3,130,2022,11483,3
Model 3,130,2022,11483,3
Model 3,170,2022,63000,3
Model 3,100,2021,60000,4
Model 3,158,2022,37000,3
Model 3,95,2020,144982,5
Model 3,88,2020,85335,5
Model 3,118,2021,36200,4
Model 3,155,2022,44163,3
Model 3,115,2021,50090,4
Model 3,98,2020,168000,5
Model 3,109.9,2019,117200,6
Model 3,98,2020,95853,5
Model 3,165,2021,59500,4
Model 3,158,2021,52000,4
Model 3,142,2019,15000,6
Model 3,137,2020,73500,5
Model 3,150,2023,18000,2
Model 3,170,2022,15000,3
Model 3,200,2022,16500,3
Model 3,185,2022,24000,3
Model 3,192,2022,14000,3
Model 3,160,2021,33000,4
Model 3,155,2020,9382,5
Model 3,158,2021,10000,4
Model 3,189,2022,8500,3
Model 3,170,2020,28500,5
Model 3,180,2021,51000,4
Model 3,168,2019,49600,6
Model 3,179.8,2020,65000,5
Model 3,185,2021,22000,4
Model 3,185,2021,3,4
Model 3,135,2020,100000,5
Model 3,210,2022,5165,3
Model 3,182,2021,22262,4
Model 3,140,2021,47000,4
Model 3,188,2020,29000,5
Model 3,166,2021,24377,4
Model 3,258,2021,30000,4
Model 3,180,2021,25502,4
Model 3,142,2019,36900,6
Model 3,188,2021,29300,4
Model 3,178,2021,36000,4
Model 3,166,2020,20000,5
Model 3,190,2022,23000,3
Model 3,180,2021,16000,4
Model 3,168,2020,29400,5
Model 3,175,2021,42500,4
Model 3,188,2021,17500,4
Model 3,85,2020,150000,5
Model 3,78.8,2020,150000,5
Model 3,226,2024,3000,1
Model 3,106.8,2021,89000,4
Model 3,105,2020,30000,5
Model 3,95,2020,110000,5
Model 3,98.8,2020,89000,5
Model 3,130,2022,40000,3
Model 3,79.8,2020,128000,5
Model 3,105,2020,40000,5
Model 3,123.8,2022,98000,3
Model 3,118,2022,48000,3
Model 3,110,2020,40000,5
Model 3,79.8,2020,130000,5
Model 3,98.8,2020,102000,5
Model 3,188,2024,2000,1
Model 3,123.8,2021,45000,4
Model 3,105,2020,100000,5
Model 3,138.8,2022,50000,3
Model 3,116.8,2021,50000,4
Model 3,146,2024,40000,1
Model 3,136.8,2022,62000,3
Model 3,99.8,2021,66000,4
Model 3,134.8,2022,70000,3
Model 3,116.8,2021,32000,4
Model 3,119.8,2022,27000,3
Model 3,136.8,2022,62000,3
Model 3,111.8,2020,153000,5
Model 3,161.5,2024,15000,1
Model 3,128,2022,40000,3
Model 3,118,2022,33000,3
Model 3,118,2022,20000,3
Model 3,108,2021,80000,4
